Законопроекты на 22.05.2022,,,,,,,,,
№,"Номер, наименование",Дата внесения,СПЗИ,Последнее событие,Дата последнего события,Ответственный комитет,Профильный комитет,Комитеты-соисполнители,Отрасль законодательства
29,"127249-8
О внесении изменений в статьи 15-1 и 24 Федерального закона ""О статусе военнослужащих""",20.05.2022,"Депутаты ГД А.В.Картаполов, А.Л.Красов, Ю.Н.Швыткин, Д.В.Саблин, В.М.Заварзин, А.В.Гурулев, Т.А.Кусайко, Г.А.Карлов, И.И.Квитка, Е.В.Лебедев, З.А.Муцоев","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",20.05.2022,,,,
31,"127171-8
О внесении изменений в статью 25 Федерального закона Российской Федерации ""О безопасности дорожного движения""",20.05.2022,"Депутаты ГД С.В.Авксентьева, А.В.Демин, О.Ю.Леонов","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",20.05.2022,,,,
34,"107968-8
О внесении изменения в статью 136 Федерального закона ""О несостоятельности (банкротстве)""
(в части уточнения порядка удовлетворения требований кредиторов)",18.04.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, А.Н.Диденко, С.Д.Леонов; Сенаторы РФ И.Н.Абрамов, Е.В.Афанасьева, В.Е.Деньгин","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрению",20.05.2022,,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",, 030.000.000 Гражданское право
36,"101381-8
О внесении изменений в Закон Российской Федерации ""О праве граждан Российской Федерации на свободу передвижения, выбор места пребывания и жительства в пределах Российской Федерации"" и статью 8 Федерального закона ""О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей""
(в части регистрации по адресам администраций муниципальных образований лиц из числа детей-сирот, не имеющих мест, где они постоянно или преимущественно проживают)",06.04.2022,"Депутаты ГД Е.П.Стенякина, Д.Ф.Вяткин, С.И.Неверов, Т.В.Буцкая, Е.В.Марков, Я.Е.Нилов, Я.В.Лантратова, С.М.Миронов, Н.А.Останина, А.А.Аникеев, А.Ю.Кузнецова, А.П.Метелев","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить принять законопроект в первом чтении",19.05.2022,"Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по государственному строительству и законодательству, Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству, Комитет Государственной Думы по региональной политике и местному самоуправлению"," 040.000.000 Семья,  050.000.000 Жилище"
38,"5790-8
О внесении изменений в Федеральный закон ""О дополнительных мерах государственной поддержки семей, имеющих детей""
(о предоставлении материнского (семейного) капитала отдельным категориям граждан в случае рождения (усыновления) третьего ребенка в субъектах Российской Федерации с низкой рождаемостью)",21.10.2021,"Депутаты ГД Я.Е.Нилов, А.Н.Диденко, Д.А.Свищев, С.Д.Леонов; Сенатор РФ И.Н.Абрамов","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
законопроект не рассматривался",19.05.2022,"Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по вопросам семьи, женщин и детей",," 040.080.000 Охрана семьи, материнства, отцовства и детства"
40,"28098-8
О внесении изменений в отдельные законодательные акты в связи с принятием Федерального закона ""О потребительской корзине в целом по Российской Федерации""",30.11.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Д.Г.Гусев, А.А.Кузнецов, А.В.Чепа, А.Г.Аксаков, А.С.Аксененко, И.А.Ананских, В.В.Белоусов, Н.П.Бурляев, А.И.Лисицын, Ю.И.Григорьев, М.Г.Делягин, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Г.П.Хованская, А.М.Бабаков, Г.Ю.Семигин; Сенатор РФ О.Н.Епифанова","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
законопроект не рассматривался",19.05.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 070.000.000 Социальное обеспечение и социальное страхование
41,"28059-8
О потребительской корзине в целом по Российской Федерации",30.11.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Д.Г.Гусев, А.А.Кузнецов, А.В.Чепа, А.Г.Аксаков, А.С.Аксененко, И.А.Ананских, В.В.Белоусов, Н.П.Бурляев, А.И.Лисицын, Ю.И.Григорьев, М.Г.Делягин, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Г.П.Хованская, А.М.Бабаков, Г.Ю.Семигин; Сенатор РФ О.Н.Епифанова","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
законопроект не рассматривался",19.05.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 070.000.000 Социальное обеспечение и социальное страхование
43,"126842-8
О внесении изменений в Федеральный закон ""О порядке предоставления Российской Федерацией военного и гражданского персонала для участия в деятельности по поддержанию или восстановлению международного мира и безопасности""",19.05.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, Д.Г.Гусев, Д.В.Кузнецов, А.А.Кузнецов, А.С.Аксененко, М.Г.Делягин, Н.В.Новичков, Я.В.Лантратова","1.1 Регистрация законопроекта и материалов к нему в САДД ГД
зарегистрирован и направлен Председателю Государственной Думы",19.05.2022,,,,
45,"109642-8
Об Общественном совете Российской Федерации по телевидению",19.04.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.А.Ремезков, А.Н.Грешневиков, Н.П.Бурляев, М.Г.Делягин, А.С.Аксененко, И.А.Ананских, Я.В.Лантратова; Сенатор РФ О.Н.Епифанова","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрению",19.05.2022,,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",, 130.040.030 Телевидение. Радиовещание 
46,"109466-8 (в архиве) 
О внесении изменений в Федеральный закон ""Об информации, информационных технологиях и о защите информации""",19.04.2022,"Депутаты ГД С.А.Гаврилов, И.И.Демченко, А.Н.Дорошенко, Н.В.Костенко, В.И.Пискарев","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
вернуть законопроект субъекту права законодательной инициативы для выполнения требований Конституции Российской Федерации и Регламента Государственной Думы",19.05.2022,,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",,
47,"101646-8
О внесении изменений в отдельные законодательные акты Российской Федерации
(в части уточнения порядка распространения информации)",06.04.2022,"Депутаты ГД В.И.Пискарев, А.Г.Альшевских, М.Г.Делягин, А.К.Луговой, Р.Б.Чемерис, М.В.Бутина, Я.В.Лантратова, О.А.Матвейчев, Е.В.Ревенко, Д.И.Савельев, А.О.Ткачев, А.Л.Шхагошев, С.Д.Леонов","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить принять законопроект в первом чтении",19.05.2022,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи","Комитет Государственной Думы по информационной политике, информационным технологиям и связи",Комитет Государственной Думы по безопасности и противодействию коррупции, 120.070.000 Информационная безопасность. Защита информации и прав субъектов в области информационных процессов и информатизации
48,"101234-8
О внесении изменений в Федеральный закон ""О персональных данных"" и иные законодательные акты Российской Федерации по вопросам защиты прав субъектов персональных данных",06.04.2022,"Депутаты ГД А.Е.Хинштейн, С.А.Гаврилов, С.М.Боярский, А.В.Горелкин, А.А.Ющенко, А.И.Немкин, А.О.Ткачев, И.А.Панькина, А.К.Луговой, Д.Г.Гусев; Сенаторы РФ А.А.Клишас, А.В.Яцкин","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить принять законопроект в первом чтении",19.05.2022,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи","Комитет Государственной Думы по информационной политике, информационным технологиям и связи",Комитет Государственной Думы по государственному строительству и законодательству, 120.030.060 Информация о гражданах (персональные данные)
50,"45636-8
О внесении изменений в Кодекс Российской Федерации об административных правонарушениях (в части повышения эффективности противодействия самовольным подключениям к энергосетям)",23.12.2021,"Депутаты ГД Н.Ю.Петрунин, Ю.А.Станкевич","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
принять законопроект в первом чтениипредставить поправки к законопроекту",19.05.2022,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по энергетике, 020.060.000 Административные правонарушения и административная ответственность
51,"21281-8
О внесении изменений в Федеральный закон № 261-ФЗ ""Об энергосбережении и о повышении энергетической эффективности и о внесении изменений в отдельные законодательные акты Российской Федерации""
(в части уточнения перечня объектов, не подлежащих оснащению приборами учета используемых энергетических ресурсов)",19.11.2021,"Депутаты ГД П.Р.Качкаев, С.А.Пахомов, П.Н.Завальный","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
принять законопроект в первом чтениипредставить поправки к законопроекту",19.05.2022,Комитет Государственной Думы по энергетике,Комитет Государственной Думы по энергетике,"Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству, Комитет Государственной Думы по защите конкуренции", 090.010.070 Энергетика
53,"93025-8
О внесении изменения в статью 20 Федерального закона ""Устав автомобильного транспорта и городского наземного электрического транспорта Российской Федерации"" в части регулирования проезда инвалидов I группы
(о запрете высадки из транспортного средства  инвалида I группы, не подтвердившего оплату проезда)",23.03.2022,"Депутаты ГД А.К.Исаев, М.Э.Оргеева, М.Б.Терентьев","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрению",19.05.2022,,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,," 090.070.000 Транспорт,  090.070.060 Автомобильный транспорт ,  090.070.070 Городской транспорт,  090.070.110 Транспортное обслуживание населения ,  090.070.120 Тарифы, сборы и льготы на транспортные услуги"
55,"35884-8
О внесении изменений в статью 46 Федерального закона ""Об основах охраны здоровья граждан в Российской Федерации"" и статью 23 Федерального закона ""О безопасности дорожного движения""
(в части проведение медицинских осмотров дистанционным способом)",09.12.2021,"Депутаты ГД А.Д.Жуков, Д.А.Хубезов, Д.И.Савельев, И.А.Ананских, Е.С.Москвичев, Я.Е.Нилов","3.3 Рассмотрение законопроекта Государственной Думой (первое чтение)
принять законопроект в первом чтениипредставить поправки к законопроекту",19.05.2022,Комитет Государственной Думы по охране здоровья,Комитет Государственной Думы по охране здоровья,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры, 140.000.000 Здравоохранение. Физическая культура и спорт. Туризм
56,"126120-8
О внесении изменений в статью 4 Федерального закона ""О науке и государственной научно-технической политике""",18.05.2022,"Депутаты ГД О.В.Пилипенко, В.А.Никонов, С.В.Кабышев, А.Г.Мажуга, В.В.Сипягин, О.Н.Смолин, В.М.Кононов","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по науке и высшему образованию",19.05.2022,,Комитет Государственной Думы по науке и высшему образованию,,
58,"125874-8
О внесении изменений и дополнений в Федеральный закон ""Об образовании в Российской Федерации"" (об особых правах детей медицинских работников, погибших в результате инфицирования новой коронавирусной инфекцией (COVID-19) при исполнении ими трудовых обязанностей)",18.05.2022,"Депутаты ГД О.Г.Дмитриева, Н.А.Останина","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по науке и высшему образованию",19.05.2022,,Комитет Государственной Думы по науке и высшему образованию,,
63,"126197-8
О внесении изменения в статью 3 Федерального закона ""О внесении изменений в статьи 333-33 и 333-35 части второй Налогового кодекса Российской Федерации",18.05.2022,"Депутаты ГД М.С.Шеремет, Т.Г.Лобач, А.Н.Козловский, Э.А.Кузнецов, Л.И.Бабашов, К.М.Бахарев, Л.Г.Ивлев, А.Ю.Черняк, Р.В.Птицын, Л.Н.Тутова, Д.А.Белик","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по бюджету и налогам",19.05.2022,,Комитет Государственной Думы по бюджету и налогам,,
69,"125628-8
О внесении изменений в статью 9 Федерального закона ""Об общественных объединениях""",18.05.2022,"Депутаты ГД О.Н.Занко, Э.Р.Аиткулова, А.А.Басанский, Т.В.Буцкая, О.В.Гарин, А.П.Гимбатов","1.2 Прохождение законопроекта у Председателя Государственной Думы
направлен в комитет(ы) Государственной Думы - Профильный комитет: Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",19.05.2022,,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",,
71,"122695-8
О внесении изменений в отдельные законодательные акты Российской Федерации
(в части совершенствования порядка перечисления целевых взносов и порядка организации и проведения лотереи)",12.05.2022,"Депутаты ГД С.В.Алтухов, А.Г.Альшевских, А.Л.Шхагошев","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить принять законопроект в первом чтении",19.05.2022,Комитет Государственной Думы по экономической политике,Комитет Государственной Думы по экономической политике,, 090.000.000 Хозяйственная деятельность
72,"108256-8
О внесении изменений в статьи 106 и 160.1 Воздушного кодекса Российской Федерации в части бесплатного выбора мест определенными категориями пассажиров",18.04.2022,"Депутаты ГД Р.А.Баталова, Д.В.Погорелый","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрению",19.05.2022,,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,, 090.000.000 Хозяйственная деятельность
73,"41630-8
О внесении изменений в отдельные законодательные акты Российской Федерации
(в части установления требования о наличии гражданства Российской Федерации при использовании суррогатного материнства на территории Российской Федерации)",17.12.2021,"Депутаты ГД П.О.Толстой, А.Ю.Кузнецова, В.И.Пискарев, Д.А.Хубезов, О.В.Тимофеева; Сенатор РФ М.Н.Павлова","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить принять законопроект в первом чтении",19.05.2022,Комитет Государственной Думы по безопасности и противодействию коррупции,Комитет Государственной Думы по безопасности и противодействию коррупции,"Комитет Государственной Думы по вопросам семьи, женщин и детей", 160.000.000 Безопасность и охрана правопорядка
77,"30066-8
О внесении изменений в Федеральный закон ""О порядке учета доходов и расчета среднедушевого дохода семьи и дохода одиноко проживающего гражданина для признания их малоимущими и оказания им государственной социальной помощи""
(в части учета дохода семьи и дохода одиноко проживающего гражданина после вычета налогов и сборов)",02.12.2021,"Депутаты ГД С.М.Миронов, О.А.Нилов, Г.Ю.Семигин, А.М.Бабаков, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.И.Лисицын, А.В.Чепа, А.Г.Аксаков, А.С.Аксененко, И.А.Ананских, В.В.Белоусов, Н.П.Бурляев, Ю.И.Григорьев, М.Г.Делягин, Я.В.Лантратова, Н.В.Новичков, А.А.Ремезков, А.В.Терентьев, Г.П.Хованская; Сенатор РФ О.Н.Епифанова","3.1 Принятие ответственным комитетом решения о представлении законопроекта в Совет Государственной Думы (первое чтение)
предложить отклонить законопроект",18.05.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по вопросам семьи, женщин и детей", 070.000.000 Социальное обеспечение и социальное страхование
78,"119419-8
О внесении изменений в Трудовой кодекс Российской Федерации
(в части исключения из состава заработной платы работника, не превышающей минимальный размер оплаты труда, всех видов компенсационных выплат)",05.05.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.С.Аксененко, А.А.Ремезков, А.В.Чепа, М.Г.Делягин, Н.В.Новичков, И.А.Ананских, Я.В.Лантратова","2.1 Принятие профильным комитетом решения о представлении законопроекта в Совет Государственной Думы (предварительное рассмотрение)
предложить принять законопроект к рассмотрениюпредложить направить законопроект и материалы к нему в Российскую трехстороннюю комиссию по регулированию социально-трудовых отношений",18.05.2022,,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 070.000.000 Социальное обеспечение и социальное страхование
84,"103837-8
О внесении изменения в статью 68 Федерального закона ""Об образовании в Российской Федерации""
(в части предоставления отдельным категориям лиц преимущественного права зачисления в образовательную организацию на обучение по образовательным программам среднего профессионального образования)",11.04.2022,"Депутаты ГД О.М.Казакова, А.П.Метелев, Т.В.Буцкая, В.С.Родина; Сенаторы РФ Г.Н.Карелова, А.Д.Артамонов, С.Н.Колбин","3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
назначить комитет-соисполнитель",18.05.2022,Комитет Государственной Думы по просвещению,Комитет Государственной Думы по просвещению,"Комитет Государственной Думы по вопросам семьи, женщин и детей", 130.010.000 Образование
85,"102942-8
О внесении изменений в статьи 8 и 66 Федерального закона ""Об образовании в Российской Федерации"" в части организации деятельности групп продленного дня""",08.04.2022,"Депутаты ГД О.М.Казакова, А.И.Аршинова, Т.В.Буцкая; Сенаторы РФ Г.Н.Карелова, Л.С.Гумерова, О.С.Забралова","3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
назначить комитет-соисполнитель",18.05.2022,Комитет Государственной Думы по просвещению,Комитет Государственной Думы по просвещению,"Комитет Государственной Думы по вопросам семьи, женщин и детей", 130.010.000 Образование
