Законопроекты на 22.05.2022,,,,,,,,,
№,"Номер, наименование",Дата внесения,СПЗИ,Последнее событие,Дата последнего события,Ответственный комитет,Профильный комитет,Комитеты-соисполнители,Отрасль законодательства
170,"103047-8
О внесении изменения в статью 8 Федерального закона ""Об уполномоченных по правам ребенка в Российской Федерации""
(в части дальнейшего развития института уполномоченного по правам ребенка на федеральном уровне)",08.04.2022,"Депутаты ГД Н.А.Останина, О.Н.Алимова, Я.В.Лантратова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по вопросам семьи, женщин и детейпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 15.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,"Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по вопросам семьи, женщин и детей",," 010.000.000 Конституционный строй,  040.080.000 Охрана семьи, материнства, отцовства и детства"
171,"103039-8
О внесении изменения в статью 11 Федерального закона ""Об иммунопрофилактике инфекционных болезней""
(в части установления дополнительных гарантий безопасности вакцинации по эпидемиологическим показаниям детей, подростков, беременных и кормящих женщин)",08.04.2022,"Депутаты ГД Н.А.Останина, О.Н.Алимова, Я.В.Лантратова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по охране здоровьяпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 14.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по вопросам семьи, женщин и детей",16.05.2022,Комитет Государственной Думы по охране здоровья,Комитет Государственной Думы по охране здоровья,"Комитет Государственной Думы по вопросам семьи, женщин и детей"," 140.000.000 Здравоохранение. Физическая культура и спорт. Туризм,  140.010.000 Здравоохранение"
172,"102249-8
О внесении изменений в отдельные законодательные акты Российской Федерации в части обеспечения государственной гарантии отдельным категориям граждан в сфере обязательного пенсионного и обязательного социального страхования
(в части расширения перечня периодов деятельности, засчитываемых в страховой стаж в целях определения права на досрочную страховую пенсию и определения размеров пособий по обязательному социальному страхованию)",07.04.2022,"Депутаты ГД Г.А.Зюганов, И.И.Мельников, В.И.Кашин, Н.В.Коломейцев, Ю.В.Афонин, Д.Г.Новиков, О.Н.Алимова, П.Р.Аммосов, Е.И.Бессонов, Н.Н.Иванов, С.И.Казанков, Л.И.Калашников, А.В.Корниенко, А.В.Куринный, Н.И.Осадчий, Д.А.Парфенов, В.Ф.Рашкин, В.И.Соболев, О.Н.Смолин, К.К.Тайсаев, М.В.Щапов","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по труду, социальной политике и делам ветерановпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 16.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 070.000.000 Социальное обеспечение и социальное страхование
173,"102240-8
О внесении изменений в отдельные законодательные акты Российской Федерации в части организации медицинской помощи жителям малочисленных и отдаленных населенных пунктов",07.04.2022,"Депутаты ГД Г.А.Зюганов, И.И.Мельников, В.И.Кашин, Н.В.Коломейцев, Ю.В.Афонин, Д.Г.Новиков, О.Н.Алимова, Н.В.Арефьев, П.Р.Аммосов, Е.И.Бессонов, С.А.Гаврилов, Н.Н.Иванов, Л.И.Калашников, А.В.Корниенко, А.В.Куринный, О.А.Лебедев, Р.М.Лябихов, Н.И.Осадчий, Д.А.Парфенов, В.Ф.Рашкин, К.К.Тайсаев, Н.М.Харитонов, М.В.Щапов","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по охране здоровьяпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 17.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по охране здоровья,Комитет Государственной Думы по охране здоровья,," 140.000.000 Здравоохранение. Физическая культура и спорт. Туризм,  140.010.000 Здравоохранение"
176,"101672-8
О внесении изменения в статью 45 Федерального закона ""Об обращении лекарственных средств""
(в части использования фармацевтических субстанций)",06.04.2022,"Депутаты ГД А.П.Петров, С.А.Наумов, Е.О.Нифантьев","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по охране здоровьяпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 17.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по охране здоровья,Комитет Государственной Думы по охране здоровья,,
177,"101622-8
О внесении изменения в статью 29 Федерального закона ""О банках и банковской деятельности"" в части ограничения комиссионного вознаграждения кредитной организации при розничной покупке товаров",06.04.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.В.Чепа, М.Г.Делягин, Н.В.Новичков, И.А.Ананских, Я.В.Лантратова; Сенатор РФ О.Н.Епифанова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по финансовому рынкупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 16.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
178,"101421-8
О внесении изменений в статьи 16-1 и 30 Федерального закона ""Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации""
(об уточнении порядка выявления объектов культурного наследия)",06.04.2022,Депутат ГД Д.В.Кузнецов,"2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по культурепредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 15.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по культуре,Комитет Государственной Думы по культуре,, 130.030.040 Охрана и использование памятников истории и культуры
179,"101376-8
О внесении изменений в часть вторую Налогового кодекса Российской Федерации в связи с принятием Федерального закона ""О внесении изменений в статью 10 Федерального закона ""О негосударственных пенсионных фондах"" по вопросам назначения негосударственных пенсий""",06.04.2022,"Депутаты ГД А.Г.Аксаков, К.М.Бахарев, Т.В.Буцкая, А.А.Гетта, Е.О.Нифантьев, О.В.Савченко, Е.М.Цунаева","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по бюджету и налогампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 14.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по финансовому рынку",16.05.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по финансовому рынку, 080.000.000 Финансы
180,"101311-8
О внесении изменения в статью 5 Федерального закона ""О противодействии коррупции""
(в части приведения Федерального закона от 25 декабря 2008 г. № 273-ФЗ   «О противодействии коррупции» в соответствие с законодательством Российской Федерации)",06.04.2022,"Депутаты ГД А.В.Картаполов, В.И.Пискарев, Т.А.Кусайко, А.Л.Красов, Р.А.Азимов, А.Б.Выборный, Э.А.Валеев","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по безопасности и противодействию коррупциипредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 30.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по безопасности и противодействию коррупции,Комитет Государственной Думы по безопасности и противодействию коррупции,, 160.000.000 Безопасность и охрана правопорядка
181,"100935-8
Об особенностях изменения процентных ставок по кредитам в 2022 году и о приостановлении действия отдельных положений статьи 29 Федерального закона ""О банках и банковской деятельности""",05.04.2022,"Депутаты ГД С.М.Миронов, Г.Ю.Семигин, О.А.Нилов, В.К.Гартунг, Д.Г.Гусев, А.А.Кузнецов, А.В.Чепа, М.Г.Делягин, Н.В.Новичков, И.А.Ананских, Я.В.Лантратова; Сенатор РФ О.Н.Епифанова","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по финансовому рынкупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 16.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по финансовому рынку,Комитет Государственной Думы по финансовому рынку,, 080.000.000 Финансы
182,"100835-8
О внесении изменений в статью 50 Водного кодекса Российской Федерации и Федеральный закон ""Об основных гарантиях прав ребенка в Российской Федерации""
(об использовании организациями отдыха детей и их оздоровления акватории водных объектов)",05.04.2022,"Депутаты ГД Э.Р.Аиткулова, А.А.Бичаев, Н.В.Костенко, Т.Г.Лобач, Ж.А.Рябцева, О.В.Тимофеева","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по вопросам семьи, женщин и детейпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 31.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды,  Комитет Государственной Думы по государственному строительству и законодательству,  Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,  Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",16.05.2022,"Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по вопросам семьи, женщин и детей","Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды, Комитет Государственной Думы по государственному строительству и законодательству, Комитет Государственной Думы по туризму и развитию туристической инфраструктуры, Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям", 110.040.070 Использование водных объектов
183,"100619-8 (в архиве) 
О внесении изменений в Бюджетный кодекс Российской Федерации
(в части механизма государственных гарантий)",05.04.2022,"Депутаты ГД А.Г.Аксаков, А.А.Гетта","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
снять законопроект с рассмотрения Государственной Думы в связи с отзывом субъектом права законодательной инициативы",16.05.2022,,Комитет Государственной Думы по бюджету и налогам,, 080.000.000 Финансы
186,"98320-8
О внесении изменений в статью 325 Федерального закона ""О таможенном регулировании в Российской Федерации и о внесении изменений в отдельные законодательные акты Российской Федерации""
(о возможности  безвозмездной передачи некоторых товаров благотворительным организациям, определенным Правительством Российской Федерации)",31.03.2022,"Депутаты ГД О.Ю.Леонов, В.Б.Сенин, А.П.Метелев, М.С.Киселев, А.А.Бичаев, О.Н.Занко","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по бюджету и налогампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 14.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",16.05.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений", 100.100.000 Гуманитарная и техническая помощь
187,"97974-8
О внесении изменений в статью 5 Федерального закона от 5 декабря 2005 года № 154- ФЗ ""О государственной службе российского казачества""
(в части уточнения обязанностей атамана всероссийского казачьего общества и претендента на данную должность в целях противодействия коррупции)",31.03.2022,Депутат ГД В.П.Водолацкий,"2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по региональной политике и местному самоуправлениюпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 31.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по региональной политике и местному самоуправлению,Комитет Государственной Думы по региональной политике и местному самоуправлению,,
188,"97773-8
О внесении изменений в Кодекс Российской Федерации об административных правонарушениях в части установления ответственности за нарушение тишины и покоя граждан в ночное время",31.03.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, А.Н.Диденко, С.Д.Леонов; Сенаторы РФ И.Н.Абрамов, Е.В.Афанасьева, В.Е.Деньгин","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по государственному строительству и законодательствупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 15.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству",16.05.2022,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству, 020.060.000 Административные правонарушения и административная ответственность
189,"97680-8
О внесении изменения в Федеральный конституционный закон ""О принятии в Российскую Федерацию Республики Крым и образовании в составе Российской Федерации новых субъектов - Республики Крым и города федерального значения Севастополя""
(в части продления особенностей регулирования имущественных и земельных отношений, а также отношений в сфере кадастрового учета недвижимости и государственной регистрации прав на недвижимое имущество и сделок с ним, отношений в области градостроительной деятельности)",30.03.2022,"Депутаты ГД М.С.Шеремет, Л.И.Бабашов, Л.Г.Ивлев, Д.А.Белик, Г.Я.Хор, К.М.Бахарев","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитетпредставить отзывы, предложения и замечания к законопроектуподготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по государственному строительству и законодательству,Комитет Государственной Думы по государственному строительству и законодательству,," 030.000.000 Гражданское право,  030.090.000 Право собственности и другие вещные права ,  030.050.040 Недвижимость"
192,"93942-8
О внесении изменений и дополнений в Бюджетный кодекс Российской Федерации (о прекращении направления нефтегазовых доходов в Фонд национального благосостояния)",24.03.2022,Депутат ГД О.Г.Дмитриева,"2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по бюджету и налогампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 15.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,, 080.000.000 Финансы
193,"92997-8
О внесении изменений в отдельные законодательные акты Российской Федерации
(в части изменения решения о финансировании мероприятий по завершению строительства объектов незавершенного строительства)",23.03.2022,"Депутаты ГД Н.В.Назарова, А.В.Якубовский","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйствупредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 20.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,,
194,"92253-8
О внесении изменений в Федеральный закон от 27 декабря 2005 года № 196-ФЗ ""О парламентском расследовании Федерального Собрания Российской Федерации""
(о приведении терминологии в соответствие с законодательством)",22.03.2022,"Депутаты ГД С.В.Авксентьева, В.А.Даванков","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по контролюпредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 16.06.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по контролю,Комитет Государственной Думы по государственному строительству и законодательству,," 010.000.000 Конституционный строй,  010.100.000 Федеральное Собрание - парламент Российской Федерации"
195,"92162-8
О внесении изменений в главу 25-3 части второй Налогового кодекса Российской Федерации
(в части признания утратившими силу положений Налогового кодекса Российской Федерации, касающихся конституционных (уставных) судов субъектов Российской Федерации)",22.03.2022,Депутат ГД П.В.Крашенинников,"2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по бюджету и налогампредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 25.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управление",16.05.2022,Комитет Государственной Думы по бюджету и налогам,Комитет Государственной Думы по бюджету и налогам,, 080.000.000 Финансы
196,"87856-8
О внесении изменений в отдельные законодательные акты Российской Федерации
(по вопросу установления особенностей ведения реестра недобросовестных поставщиков в рамках государственного оборонного заказа)",15.03.2022,"Депутаты ГД В.В.Гутенев, А.Н.Козловский, А.В.Терентьев, А.С.Дроздов, И.А.Антропенко, Г.И.Скляр, М.В.Василькова, А.Ю.Спиридонов, А.В.Воробьев, В.В.Дзюба, К.Ю.Захаров, В.В.Иванов, А.В.Канаев, А.А.Максимов, Е.О.Нифантьев, В.В.Павлов, С.М.Пантелеев, В.В.Плякин, А.Ф.Трифонов; Сенатор РФ К.К.Долгов","2.2 Рассмотрение Советом Государственной Думы законопроекта, внесенного в Государственную Думу (предварительное рассмотрение)
назначить ответственный комитет - Ответственный комитет: Комитет Государственной Думы по оборонепредставить отзывы, предложения и замечания к законопроекту - Срок представления отзывов, предложений и замечаний в комитет: 31.05.2022подготовить законопроект к рассмотрению Государственной Думойвключить законопроект в примерную программунаправить законопроект на заключение в Правовое управлениеназначить комитет-соисполнитель - Комитеты-соисполнители:  Комитет Государственной Думы по промышленности и торговле",16.05.2022,Комитет Государственной Думы по обороне,Комитет Государственной Думы по обороне,Комитет Государственной Думы по промышленности и торговле, 150.000.000 Оборона
197,"87131-8
О семейных поместьях и семейных поселениях в Российской Федерации",15.03.2022,"Депутаты ГД Я.Е.Нилов, Д.А.Свищев, С.Д.Леонов, А.Н.Диденко, Б.Р.Пайкин; Сенаторы РФ И.Н.Абрамов, Е.В.Афанасьева","3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
назначить комитет-соисполнитель",16.05.2022,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям","Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",Комитет Государственной Думы по региональной политике и местному самоуправлению,
201,"47589-8
О внесении изменений в Трудовой кодекс Российской Федерации
(в части совершенствования статей 72.2, 81,157, 192, 193 Трудового кодекса Российской Федерации)",27.12.2021,Депутат ГД М.Г.Делягин,"3.2 Рассмотрение Советом Государственной Думы законопроекта, представленного ответственным комитетом (первое чтение)
включить законопроект в примерную программуподготовить законопроект к рассмотрению Государственной Думойиное решениепредставить отзывы, предложения и замечания к законопроектунаправить измененный текст законопроекта для подготовки замечаний и предложений",16.05.2022,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов","Комитет Государственной Думы по труду, социальной политике и делам ветеранов",, 060.000.000 Труд и занятость населения
