,Name,Faction,Comittee,Comission
381,С.Ю.Тен,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",
382,А.В.Терентьев,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по промышленности и торговле,
383,М.Б.Терентьев,ЕДИНАЯ РОССИЯ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам",['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
384,В.В.Терешкова,ЕДИНАЯ РОССИЯ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
385,Р.И.Терюшков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по физической культуре и спорту,
386,А.П.Тетердинко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по государственному строительству и законодательству,
387,О.В.Тимофеева,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",
388,А.Н.Ткачев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",
389,А.О.Ткачёв,НОВЫЕ ЛЮДИ,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ']
390,А.Р.Толмачёв,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
391,П.О.Толстой,ЕДИНАЯ РОССИЯ,,
392,М.А.Топилин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по экономической политике,
393,В.А.Третьяк,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по физической культуре и спорту,
394,А.Ф.Трифонов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
395,Ф.С.Тумусов,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по охране здоровья,
396,А.В.Туров,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками",
397,Л.Н.Тутова,ЕДИНАЯ РОССИЯ,,
398,Д.Б.Узденов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
399,С.Д.Умаханов,ЕДИНАЯ РОССИЯ,,
400,Р.А.Утяшева,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
401,О.Н.Фадина,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по региональной политике и местному самоуправлению,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
402,А.З.Фаррахов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
403,Е.А.Федоров,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
404,П.М.Федяев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
405,В.А.Фетисов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
406,И.А.Филатова,КПРФ,Комитет Государственной Думы по защите конкуренции,
407,В.В.Фомичев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
408,Т.И.Фролова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
409,Б.С.Хамзаев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,
